player_id,name,position,shoots,height_cm,weight_kg,college,draft_year,nba_debut,experience_years,is_active,birth_date,birth_place
lopezro01,Robin Lopez,Center,Right,216,127,Stanford,2008.0,"October 29, 2008",16,False,1988-04-01,California
ntilila01,Frank Ntilikina,Point Guard and Shooting Guard,Right,193,90,,2017.0,"October 19, 2017",7,False,1998-07-28,Belgium
harklma01,Maurice Harkless,Small Forward and Power Forward,Right,201,99,St. John's,2012.0,"November 7, 2012",10,False,1993-05-11,New York
carusal01,Alex Caruso,Point Guard and Shooting Guard,Right,196,84,Texas A&M,,"October 19, 2017",9,True,1994-02-28,Texas
greendr01,Draymond Green,Power Forward and Small Forward,Right,198,104,Michigan State,2012.0,"October 31, 2012",14,True,1990-03-04,Michigan
naderab01,Abdel Nader,Small Forward,Right,196,102,,2016.0,"October 18, 2017",5,False,1993-09-25,Egypt
willima02,Marvin Williams,Power Forward and Small Forward,Right,203,107,UNC,2005.0,"November 2, 2005",15,False,1986-06-19,Washington
bazleda01,Darius Bazley,Power Forward and Center,Left,206,97,,2019.0,"October 23, 2019",5,False,2000-06-12,Massachusetts
rondora01,Rajon Rondo,Point Guard,Right,185,81,Kentucky,2006.0,"November 1, 2006",16,False,1986-02-22,Kentucky
bowmaky01,Ky Bowman,Point Guard,Right,185,84,Boston College,,"October 24, 2019",1,False,1997-06-16,North Carolina
bambamo01,Mo Bamba,Center,Right,213,104,Texas,2018.0,"October 17, 2018",8,True,1998-05-12,New York
gasolma01,Marc Gasol,Center,Right,211,115,,2007.0,"October 29, 2008",13,False,1985-01-29,Spain
allengr01,Grayson Allen,Shooting Guard,Right,190,89,Duke,2018.0,"October 22, 2018",8,True,1995-10-08,Florida
bongais01,Isaac Bonga,Small Forward and Point Guard,Right,203,81,,2018.0,"December 7, 2018",4,False,1999-11-08,Germany
cartemi01,Michael Carter-Williams,Point Guard and Shooting Guard,Right,198,92,Syracuse,2013.0,"October 30, 2013",9,False,1991-10-10,Massachusetts
hillso01,Solomon Hill,Small Forward and Power Forward,Right,198,102,Arizona,2013.0,"October 29, 2013",9,False,1991-03-18,California
dotsoda01,Damyean Dotson,Shooting Guard,Right,196,95,,2017.0,"October 19, 2017",5,False,1994-05-06,Texas
robinje01,Jerome Robinson,Shooting Guard,Right,196,86,Boston College,2018.0,"October 26, 2018",4,True,1997-02-22,North Carolina
diallha01,Hamidou Diallo,Small Forward and Shooting Guard,Right,196,91,Kentucky,2018.0,"October 16, 2018",6,True,1998-07-31,New York
gilesha01,Harry Giles,Center and Power Forward,Right,208,108,Duke,2017.0,"October 17, 2018",4,False,1998-04-22,North Carolina
craigto01,Torrey Craig,Small Forward and Power Forward,Right,196,100,USC Upstate,,"November 28, 2017",8,False,1990-12-19,South Carolina
leoname01,Meyers Leonard,Center and Power Forward,Right,213,117,Illinois,2012.0,"October 31, 2012",10,False,1992-02-27,Illinois
jonesda03,Damian Jones,Center,Right,208,111,Vanderbilt,2016.0,"December 10, 2016",8,False,1995-06-30,Louisiana
thybuma01,Matisse Thybulle,Shooting Guard and Small Forward,Right,196,91,Washington,2019.0,"October 23, 2019",7,True,1997-03-04,Arizona
iwundwe01,Wes Iwundu,Small Forward,Right,198,88,Kansas State,2017.0,"October 21, 2017",5,False,1994-12-20,Texas
cartevi01,Vince Carter,"Shooting Guard, Small Forward, and Power Forward",Right,198,99,UNC,1998.0,"February 5, 1999",22,False,1977-01-26,Florida
pattepa01,Patrick Patterson,Power Forward,Right,203,106,Kentucky,2010.0,"December 15, 2010",11,False,1989-03-14,District of Columbia
marjabo01,Boban MarjanoviÄ,Center,Right,224,131,,,"October 30, 2015",9,False,1988-08-15,Serbia
bateske01,Keita Bates-Diop,Small Forward and Power Forward,Right,203,103,Ohio State,2018.0,"October 26, 2018",6,True,1996-01-23,Illinois
hernaju01,Juancho HernangÃ³mez,Power Forward,Right,206,97,,2016.0,"October 26, 2016",7,False,1995-09-28,Spain
carteje01,Jevon Carter,Point Guard,Right,183,90,West Virginia,2018.0,"December 15, 2018",8,True,1995-09-14,Illinois
bradlto01,Tony Bradley,Center,Right,208,112,UNC,2017.0,"November 5, 2017",8,True,1998-01-08,Florida
mahinia01,Ian Mahinmi,Center,Right,211,118,,2005.0,"October 30, 2007",12,False,1986-11-05,France
makerth01,Thon Maker,Center and Power Forward,Right,213,100,,2016.0,"October 30, 2016",5,False,1997-02-25,South Sudan
griffbl01,Blake Griffin,Power Forward and Center,Right,206,113,Oklahoma,2009.0,"October 27, 2010",13,False,1989-03-16,Oklahoma
netora01,Raul Neto,Point Guard,Right,188,81,,2013.0,"October 28, 2015",8,False,1992-05-19,Brazil
oladivi01,Victor Oladipo,Shooting Guard and Point Guard,Right,190,96,Indiana,2013.0,"October 29, 2013",10,True,1992-05-04,Maryland
